First 1 second:
N wins: 60946, R wins: 35092, Draws: 3962, [60.95:35.09:3.96] (100K-epoch: 83, 8.70s)
Time Training: 710.28s, Trained: 96k, (X:47752,O:48286), Self Play: 0 (Draws: NaN%)
N wins: 61146, R wins: 34861, Draws: 3993, [61.15:34.86:3.99] (100K-epoch: 84, 8.64s)
Time Training: 718.92s, Trained: 96k, (X:47865,O:48142), Self Play: 0 (Draws: NaN%)
N wins: 60982, R wins: 34897, Draws: 4121, [60.98:34.90:4.12] (100K-epoch: 85, 8.74s)
Time Training: 727.66s, Trained: 95k, (X:47680,O:48199), Self Play: 0 (Draws: NaN%)
N wins: 61296, R wins: 34831, Draws: 3873, [61.30:34.83:3.87] (100K-epoch: 86, 8.66s)
Time Training: 736.32s, Trained: 96k, (X:48155,O:47972), Self Play: 0 (Draws: NaN%)
N wins: 61274, R wins: 34776, Draws: 3950, [61.27:34.78:3.95] (100K-epoch: 87, 8.68s)
Time Training: 745.00s, Trained: 96k, (X:47985,O:48065), Self Play: 0 (Draws: NaN%)
N wins: 61331, R wins: 34760, Draws: 3909, [61.33:34.76:3.91] (100K-epoch: 88, 8.64s)
Time Training: 753.64s, Trained: 96k, (X:48265,O:47826), Self Play: 0 (Draws: NaN%)
N wins: 61020, R wins: 35021, Draws: 3959, [61.02:35.02:3.96] (100K-epoch: 89, 8.64s)
Time Training: 762.28s, Trained: 96k, (X:47810,O:48231), Self Play: 0 (Draws: NaN%)
N wins: 61094, R wins: 35029, Draws: 3877, [61.09:35.03:3.88] (100K-epoch: 90, 8.69s)
Time Training: 770.98s, Trained: 96k, (X:48081,O:48042), Self Play: 0 (Draws: NaN%)
N wins: 60969, R wins: 34992, Draws: 4039, [60.97:34.99:4.04] (100K-epoch: 91, 8.64s)
Time Training: 779.62s, Trained: 95k, (X:47897,O:48064), Self Play: 0 (Draws: NaN%)
N wins: 61268, R wins: 34711, Draws: 4021, [61.27:34.71:4.02] (100K-epoch: 92, 8.70s)
Time Training: 788.31s, Trained: 95k, (X:47968,O:48011), Self Play: 0 (Draws: NaN%)
N wins: 60920, R wins: 35039, Draws: 4041, [60.92:35.04:4.04] (100K-epoch: 93, 8.64s)
Time Training: 796.96s, Trained: 95k, (X:47609,O:48350), Self Play: 0 (Draws: NaN%)
N wins: 61191, R wins: 34917, Draws: 3892, [61.19:34.92:3.89] (100K-epoch: 94, 8.66s)
Time Training: 805.62s, Trained: 96k, (X:47994,O:48114), Self Play: 0 (Draws: NaN%)
N wins: 61132, R wins: 34864, Draws: 4004, [61.13:34.86:4.00] (100K-epoch: 95, 8.64s)
Time Training: 814.26s, Trained: 95k, (X:48121,O:47875), Self Play: 0 (Draws: NaN%)
