First 1 second:
N wins: 30867, R wins: 17383, Draws: 1938, [61.50:34.64:3.86] (100K-epoch: 118, 18.52s)
Time Training: 2047.77s, Trained: 48k, (X:24299,O:23951), Self Play: 49812 (Draws: 0.00%)
N wins: 30345, R wins: 17527, Draws: 1994, [60.85:35.15:4.00] (100K-epoch: 119, 17.92s)
Time Training: 2065.69s, Trained: 47k, (X:23895,O:23977), Self Play: 50134 (Draws: 0.00%)
N wins: 30587, R wins: 17469, Draws: 2016, [61.09:34.89:4.03] (100K-epoch: 120, 17.80s)
Time Training: 2083.49s, Trained: 48k, (X:24132,O:23924), Self Play: 49928 (Draws: 0.00%)
N wins: 30145, R wins: 17367, Draws: 2003, [60.88:35.07:4.05] (100K-epoch: 121, 18.12s)
Time Training: 2101.62s, Trained: 47k, (X:23739,O:23773), Self Play: 50485 (Draws: 0.00%)
N wins: 30420, R wins: 17318, Draws: 2080, [61.06:34.76:4.18] (100K-epoch: 122, 17.69s)
Time Training: 2119.31s, Trained: 47k, (X:23766,O:23972), Self Play: 50182 (Draws: 0.00%)
N wins: 30413, R wins: 17366, Draws: 1944, [61.16:34.93:3.91] (100K-epoch: 123, 18.14s)
Time Training: 2137.46s, Trained: 47k, (X:23995,O:23784), Self Play: 50277 (Draws: 0.00%)
N wins: 30464, R wins: 17482, Draws: 1987, [61.01:35.01:3.98] (100K-epoch: 124, 18.24s)
Time Training: 2155.69s, Trained: 47k, (X:24056,O:23890), Self Play: 50067 (Draws: 0.00%)
N wins: 30467, R wins: 17564, Draws: 2029, [60.86:35.09:4.05] (100K-epoch: 125, 17.42s)
Time Training: 2173.12s, Trained: 48k, (X:23943,O:24088), Self Play: 49940 (Draws: 0.00%)
N wins: 30390, R wins: 17464, Draws: 2023, [60.93:35.01:4.06] (100K-epoch: 126, 17.86s)
Time Training: 2190.98s, Trained: 47k, (X:23843,O:24011), Self Play: 50123 (Draws: 0.00%)
N wins: 30544, R wins: 17498, Draws: 1927, [61.13:35.02:3.86] (100K-epoch: 127, 17.21s)
Time Training: 2208.19s, Trained: 48k, (X:24036,O:24006), Self Play: 50031 (Draws: 0.00%)
N wins: 30336, R wins: 17490, Draws: 1996, [60.89:35.10:4.01] (100K-epoch: 128, 17.93s)
Time Training: 2226.12s, Trained: 47k, (X:23850,O:23976), Self Play: 50178 (Draws: 0.00%)
N wins: 30492, R wins: 17520, Draws: 2016, [60.95:35.02:4.03] (100K-epoch: 129, 17.01s)
Time Training: 2243.14s, Trained: 48k, (X:23963,O:24049), Self Play: 49972 (Draws: 0.00%)
N wins: 30490, R wins: 17451, Draws: 2006, [61.04:34.94:4.02] (100K-epoch: 130, 18.16s)
Time Training: 2261.29s, Trained: 47k, (X:24084,O:23857), Self Play: 50053 (Draws: 0.00%)
N wins: 30560, R wins: 17412, Draws: 2005, [61.15:34.84:4.01] (100K-epoch: 131, 17.21s)
Time Training: 2278.50s, Trained: 47k, (X:23812,O:24160), Self Play: 50023 (Draws: 0.00%)
