First 1 second:
Time Training: 138.71s, Trained: 47k, (X:23459,O:23695), Self Play: 50011 (Draws: 29.91%)
N wins: 33240, R wins: 14208, Draws: 2672, [66.32:28.35:5.33] (100K-epoch: 11, 15.99s)
Time Training: 154.71s, Trained: 47k, (X:23659,O:23789), Self Play: 49880 (Draws: 36.02%)
N wins: 33600, R wins: 13651, Draws: 2837, [67.08:27.25:5.66] (100K-epoch: 12, 16.27s)
Time Training: 170.98s, Trained: 47k, (X:23592,O:23659), Self Play: 49912 (Draws: 26.99%)
N wins: 33962, R wins: 13745, Draws: 2525, [67.61:27.36:5.03] (100K-epoch: 13, 16.38s)
Time Training: 187.36s, Trained: 47k, (X:23802,O:23905), Self Play: 49768 (Draws: 21.88%)
N wins: 33202, R wins: 14161, Draws: 2650, [66.39:28.31:5.30] (100K-epoch: 14, 17.32s)
Time Training: 204.69s, Trained: 47k, (X:23538,O:23825), Self Play: 49987 (Draws: 4.00%)
N wins: 33864, R wins: 13424, Draws: 2839, [67.56:26.78:5.66] (100K-epoch: 15, 13.76s)
Time Training: 218.45s, Trained: 47k, (X:23733,O:23555), Self Play: 49873 (Draws: 45.85%)
N wins: 32578, R wins: 14409, Draws: 2979, [65.20:28.84:5.96] (100K-epoch: 16, 13.83s)
Time Training: 232.28s, Trained: 46k, (X:23306,O:23681), Self Play: 50034 (Draws: 37.87%)
N wins: 32386, R wins: 15101, Draws: 2912, [64.26:29.96:5.78] (100K-epoch: 17, 14.77s)
Time Training: 247.05s, Trained: 47k, (X:23679,O:23808), Self Play: 49601 (Draws: 21.93%)
N wins: 33152, R wins: 14272, Draws: 2699, [66.14:28.47:5.38] (100K-epoch: 18, 13.22s)
Time Training: 260.27s, Trained: 47k, (X:23626,O:23798), Self Play: 49877 (Draws: 46.25%)
N wins: 33106, R wins: 14540, Draws: 2399, [66.15:29.05:4.79] (100K-epoch: 19, 13.26s)
Time Training: 273.52s, Trained: 47k, (X:23963,O:23683), Self Play: 49955 (Draws: 32.04%)
N wins: 33056, R wins: 14239, Draws: 2703, [66.11:28.48:5.41] (100K-epoch: 20, 13.16s)
Time Training: 286.68s, Trained: 47k, (X:23371,O:23924), Self Play: 50002 (Draws: 35.05%)
N wins: 30483, R wins: 16375, Draws: 3081, [61.04:32.79:6.17] (100K-epoch: 21, 11.66s)
Time Training: 298.34s, Trained: 46k, (X:23307,O:23551), Self Play: 50061 (Draws: 73.96%)
N wins: 30446, R wins: 16155, Draws: 3233, [61.09:32.42:6.49] (100K-epoch: 22, 11.41s)
Time Training: 309.75s, Trained: 46k, (X:23130,O:23471), Self Play: 50166 (Draws: 84.14%)
N wins: 31846, R wins: 14441, Draws: 3834, [63.54:28.81:7.65] (100K-epoch: 23, 14.93s)
Time Training: 324.68s, Trained: 46k, (X:22932,O:23355), Self Play: 49879 (Draws: 54.09%)
N wins: 33660, R wins: 13924, Draws: 2432, [67.30:27.84:4.86] (100K-epoch: 24, 15.41s)
